"function evaluation" "noise-free fitness - Fopt (-4.620900000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
"function evaluation" "noise-free fitness - Fopt (-3.774000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +5.399060035e+01 +5.399060035e+01 +1.625060035e+01 +1.625060035e+01 -1.3746e+00 +1.9737e+00
6 +1.868895545e+01 +1.868895545e+01 -1.905104455e+01 -1.905104455e+01 +2.9399e-01 -6.8678e-02
16 +8.875114533e+00 +8.875114533e+00 -2.886488547e+01 -2.886488547e+01 +1.5781e+00 +8.4409e-01
275 +4.783092806e+00 +4.783092806e+00 -3.295690719e+01 -3.295690719e+01 +1.5141e+00 +2.3500e-01
414 +2.375882638e+00 +2.375882638e+00 -3.536411736e+01 -3.536411736e+01 +3.4613e+00 +5.6096e-01
"function evaluation" "noise-free fitness - Fopt (1.330200000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.523547123e+01 +2.523547123e+01 +1.582554712e+02 +1.582554712e+02 +1.6859e+00 -2.0384e+00
22 +2.299250580e+01 +2.299250580e+01 +1.560125058e+02 +1.560125058e+02 +3.1398e+00 -1.1571e+00
26 +1.507498592e+00 +1.507498592e+00 +1.345274986e+02 +1.345274986e+02 +3.5160e+00 -1.1975e+00
"function evaluation" "noise-free fitness - Fopt (-1.742300000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +4.461022006e+02 +4.461022006e+02 +2.718722006e+02 +2.718722006e+02 +2.5241e+00 +3.3449e+00
3 +2.966824755e+01 +2.966824755e+01 -1.445617525e+02 -1.445617525e+02 +1.3087e+00 -3.5633e+00
8 +2.231582037e+01 +2.231582037e+01 -1.519141796e+02 -1.519141796e+02 +6.3507e-01 -2.3070e+00
13 +1.068942922e+01 +1.068942922e+01 -1.635405708e+02 -1.635405708e+02 +2.2818e+00 -2.6941e+00
80 +7.351463398e+00 +7.351463398e+00 -1.668785366e+02 -1.668785366e+02 +6.2692e-01 -2.7471e+00
582 +6.196483606e+00 +6.196483606e+00 -1.680335164e+02 -1.680335164e+02 +2.3329e+00 -2.4881e+00
676 +3.623095304e+00 +3.623095304e+00 -1.706069047e+02 -1.706069047e+02 +1.4873e+00 -2.7389e+00
762 +2.049906589e+00 +2.049906589e+00 -1.721800934e+02 -1.721800934e+02 +1.4349e+00 -3.3769e+00
821 +1.479672138e+00 +1.479672138e+00 -1.727503279e+02 -1.727503279e+02 +1.4479e+00 -3.0536e+00
"function evaluation" "noise-free fitness - Fopt (6.380000000000e+00)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +7.767934731e+01 +7.767934731e+01 +8.405934731e+01 +8.405934731e+01 -3.2269e-01 -6.2959e-02
7 +5.029559986e+01 +5.029559986e+01 +5.667559986e+01 +5.667559986e+01 +3.1584e+00 +7.2779e-01
